Only one GPU available, models are split between GPU 0
loading pretrained CLIP visual encoder
0  warmup steps
770  total steps
1229.5  train batches
C:\Users\George\anaconda3\envs\CondaforDeepLearning\Lib\site-packages\transformers\models\llama\modeling_llama.py:602: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at ..\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:455.)
  attn_output = torch.nn.functional.scaled_dot_product_attention(
tensor(52.5234, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.4381, device='cuda:0', grad_fn=<DivBackward0>)
tensor(66.9254, device='cuda:0', grad_fn=<DivBackward0>)
tensor(43.6860, device='cuda:0', grad_fn=<DivBackward0>)
tensor(248.2497, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.9674, device='cuda:0', grad_fn=<DivBackward0>)
tensor(98.2836, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.6020, device='cuda:0', grad_fn=<DivBackward0>)
tensor(112.3620, device='cuda:0', grad_fn=<DivBackward0>)
tensor(123.5191, device='cuda:0', grad_fn=<DivBackward0>)
tensor(269.9597, device='cuda:0', grad_fn=<DivBackward0>)
tensor(210.9688, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.8069, device='cuda:0', grad_fn=<DivBackward0>)
tensor(107.0472, device='cuda:0', grad_fn=<DivBackward0>)
tensor(104.3791, device='cuda:0', grad_fn=<DivBackward0>)
tensor(288.6725, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.4365, device='cuda:0', grad_fn=<DivBackward0>)
All parameters are the same.
tensor(58.3621, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.0282, device='cuda:0', grad_fn=<DivBackward0>)
tensor(84.1325, device='cuda:0', grad_fn=<DivBackward0>)
tensor(90.2073, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.0158, device='cuda:0', grad_fn=<DivBackward0>)
tensor(67.9919, device='cuda:0', grad_fn=<DivBackward0>)
tensor(37.4374, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.2746, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.3905, device='cuda:0', grad_fn=<DivBackward0>)
tensor(85.6080, device='cuda:0', grad_fn=<DivBackward0>)
tensor(172.2200, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.7955, device='cuda:0', grad_fn=<DivBackward0>)
tensor(294.1042, device='cuda:0', grad_fn=<DivBackward0>)
tensor(129.6618, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.5414, device='cuda:0', grad_fn=<DivBackward0>)
tensor(212.2485, device='cuda:0', grad_fn=<DivBackward0>)
tensor(190.0347, device='cuda:0', grad_fn=<DivBackward0>)
tensor(28.0227, device='cuda:0', grad_fn=<DivBackward0>)
tensor(73.0523, device='cuda:0', grad_fn=<DivBackward0>)
tensor(66.3297, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.0509, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.8369, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.0969, device='cuda:0', grad_fn=<DivBackward0>)
tensor(78.3473, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.8173, device='cuda:0', grad_fn=<DivBackward0>)
tensor(239.7032, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.2292, device='cuda:0', grad_fn=<DivBackward0>)
tensor(318.7342, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.7274, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.4398, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.5058, device='cuda:0', grad_fn=<DivBackward0>)
tensor(154.7278, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.9808, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.5111, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.6452, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.1659, device='cuda:0', grad_fn=<DivBackward0>)
tensor(68.0939, device='cuda:0', grad_fn=<DivBackward0>)
tensor(301.5171, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.7109, device='cuda:0', grad_fn=<DivBackward0>)
tensor(65.2819, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.5745, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.1733, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.5157, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.7846, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.8923, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.5866, device='cuda:0', grad_fn=<DivBackward0>)
tensor(124.0558, device='cuda:0', grad_fn=<DivBackward0>)
tensor(154.1984, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.6155, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.9904, device='cuda:0', grad_fn=<DivBackward0>)
tensor(70.4202, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.2686, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.0587, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.8677, device='cuda:0', grad_fn=<DivBackward0>)
tensor(149.0906, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.5802, device='cuda:0', grad_fn=<DivBackward0>)
tensor(80.1396, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.3151, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.0623, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.3897, device='cuda:0', grad_fn=<DivBackward0>)
tensor(59.5372, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.1678, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.8692, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.1998, device='cuda:0', grad_fn=<DivBackward0>)
tensor(95.5959, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.7063, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.0260, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.3861, device='cuda:0', grad_fn=<DivBackward0>)
tensor(60.1027, device='cuda:0', grad_fn=<DivBackward0>)
tensor(257.6296, device='cuda:0', grad_fn=<DivBackward0>)
tensor(28.2719, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.9754, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.8523, device='cuda:0', grad_fn=<DivBackward0>)
tensor(59.1362, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.3298, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.3433, device='cuda:0', grad_fn=<DivBackward0>)
All parameters are the same.
tensor(270.3643, device='cuda:0', grad_fn=<DivBackward0>)
tensor(49.6281, device='cuda:0', grad_fn=<DivBackward0>)
tensor(99.0719, device='cuda:0', grad_fn=<DivBackward0>)
tensor(144.7819, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.8060, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.6515, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.6834, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.7128, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.4247, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.2541, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.0232, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.2403, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.3155, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.6782, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.4359, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.2263, device='cuda:0', grad_fn=<DivBackward0>)
tensor(102.7288, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.1494, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.1136, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.9783, device='cuda:0', grad_fn=<DivBackward0>)
tensor(244.7869, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.6239, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.0590, device='cuda:0', grad_fn=<DivBackward0>)
tensor(71.3920, device='cuda:0', grad_fn=<DivBackward0>)
tensor(43.9712, device='cuda:0', grad_fn=<DivBackward0>)
tensor(71.7335, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.5828, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.9303, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.7975, device='cuda:0', grad_fn=<DivBackward0>)
tensor(36.8335, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.2859, device='cuda:0', grad_fn=<DivBackward0>)
tensor(94.8858, device='cuda:0', grad_fn=<DivBackward0>)
tensor(59.0846, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.7105, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.3537, device='cuda:0', grad_fn=<DivBackward0>)
tensor(129.8311, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.1942, device='cuda:0', grad_fn=<DivBackward0>)
tensor(187.9055, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.7002, device='cuda:0', grad_fn=<DivBackward0>)
tensor(66.6511, device='cuda:0', grad_fn=<DivBackward0>)
tensor(69.7954, device='cuda:0', grad_fn=<DivBackward0>)
tensor(60.0429, device='cuda:0', grad_fn=<DivBackward0>)
tensor(155.1803, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.7429, device='cuda:0', grad_fn=<DivBackward0>)
tensor(50.5368, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.9442, device='cuda:0', grad_fn=<DivBackward0>)
tensor(223.0938, device='cuda:0', grad_fn=<DivBackward0>)
tensor(115.1565, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.6754, device='cuda:0', grad_fn=<DivBackward0>)
tensor(117.4147, device='cuda:0', grad_fn=<DivBackward0>)
tensor(109.9041, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.9993, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.7695, device='cuda:0', grad_fn=<DivBackward0>)
tensor(36.1066, device='cuda:0', grad_fn=<DivBackward0>)
tensor(142.2718, device='cuda:0', grad_fn=<DivBackward0>)
tensor(66.0422, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.8232, device='cuda:0', grad_fn=<DivBackward0>)
tensor(156.7199, device='cuda:0', grad_fn=<DivBackward0>)
tensor(238.8780, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.9116, device='cuda:0', grad_fn=<DivBackward0>)
tensor(148.0404, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.6364, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.7537, device='cuda:0', grad_fn=<DivBackward0>)
tensor(63.1815, device='cuda:0', grad_fn=<DivBackward0>)
tensor(90.1670, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.4028, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.4179, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.2554, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.4406, device='cuda:0', grad_fn=<DivBackward0>)
tensor(271.0746, device='cuda:0', grad_fn=<DivBackward0>)
tensor(27.1529, device='cuda:0', grad_fn=<DivBackward0>)
tensor(29.4072, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.1614, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.6232, device='cuda:0', grad_fn=<DivBackward0>)
tensor(68.4978, device='cuda:0', grad_fn=<DivBackward0>)
tensor(43.3113, device='cuda:0', grad_fn=<DivBackward0>)
All parameters are the same.
tensor(43.2851, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.1626, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.6803, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.7637, device='cuda:0', grad_fn=<DivBackward0>)
tensor(107.2360, device='cuda:0', grad_fn=<DivBackward0>)
tensor(86.8665, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.8984, device='cuda:0', grad_fn=<DivBackward0>)
tensor(67.1310, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.7550, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.0922, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.5223, device='cuda:0', grad_fn=<DivBackward0>)
tensor(107.4213, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.2449, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.9479, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.1142, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.3400, device='cuda:0', grad_fn=<DivBackward0>)
tensor(84.8167, device='cuda:0', grad_fn=<DivBackward0>)
tensor(70.8078, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.1427, device='cuda:0', grad_fn=<DivBackward0>)
tensor(59.0672, device='cuda:0', grad_fn=<DivBackward0>)
tensor(91.0343, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.3568, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.4791, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.6750, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.0508, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.3848, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.3257, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.9231, device='cuda:0', grad_fn=<DivBackward0>)
tensor(183.3069, device='cuda:0', grad_fn=<DivBackward0>)
tensor(44.2066, device='cuda:0', grad_fn=<DivBackward0>)
tensor(88.4977, device='cuda:0', grad_fn=<DivBackward0>)
tensor(71.3797, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.1052, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.6809, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.4858, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.7858, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.9147, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.4113, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.8884, device='cuda:0', grad_fn=<DivBackward0>)
tensor(43.5239, device='cuda:0', grad_fn=<DivBackward0>)
tensor(145.3661, device='cuda:0', grad_fn=<DivBackward0>)
tensor(157.3360, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.6316, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.9996, device='cuda:0', grad_fn=<DivBackward0>)
tensor(271.3258, device='cuda:0', grad_fn=<DivBackward0>)
tensor(141.2424, device='cuda:0', grad_fn=<DivBackward0>)
tensor(36.3650, device='cuda:0', grad_fn=<DivBackward0>)
tensor(35.1399, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.8674, device='cuda:0', grad_fn=<DivBackward0>)
tensor(78.2903, device='cuda:0', grad_fn=<DivBackward0>)
tensor(95.1564, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.4850, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.6905, device='cuda:0', grad_fn=<DivBackward0>)
tensor(267.0460, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.9296, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.3181, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.9616, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.5784, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.5799, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.5409, device='cuda:0', grad_fn=<DivBackward0>)
tensor(288.2783, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.2842, device='cuda:0', grad_fn=<DivBackward0>)
tensor(37.5237, device='cuda:0', grad_fn=<DivBackward0>)
tensor(44.4924, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.6701, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.5503, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.4528, device='cuda:0', grad_fn=<DivBackward0>)
tensor(45.2798, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.9342, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.9404, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.8162, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.6421, device='cuda:0', grad_fn=<DivBackward0>)
tensor(305.5899, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.6908, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.6346, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.4847, device='cuda:0', grad_fn=<DivBackward0>)
All parameters are the same.
tensor(39.2397, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.0540, device='cuda:0', grad_fn=<DivBackward0>)
tensor(89.8072, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.5116, device='cuda:0', grad_fn=<DivBackward0>)
tensor(87.3583, device='cuda:0', grad_fn=<DivBackward0>)
tensor(96.4111, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.2209, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.2541, device='cuda:0', grad_fn=<DivBackward0>)
tensor(111.7652, device='cuda:0', grad_fn=<DivBackward0>)
tensor(233.7596, device='cuda:0', grad_fn=<DivBackward0>)
tensor(72.8361, device='cuda:0', grad_fn=<DivBackward0>)
tensor(65.6448, device='cuda:0', grad_fn=<DivBackward0>)
tensor(29.1482, device='cuda:0', grad_fn=<DivBackward0>)
tensor(28.7956, device='cuda:0', grad_fn=<DivBackward0>)
tensor(70.0846, device='cuda:0', grad_fn=<DivBackward0>)
tensor(28.1594, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.0138, device='cuda:0', grad_fn=<DivBackward0>)
tensor(37.5040, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.3452, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.3951, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.6821, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.4336, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.1580, device='cuda:0', grad_fn=<DivBackward0>)
tensor(252.9317, device='cuda:0', grad_fn=<DivBackward0>)
tensor(146.5987, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.2574, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.6937, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.6576, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.5346, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.1610, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.9444, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.8383, device='cuda:0', grad_fn=<DivBackward0>)
tensor(68.1463, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.4809, device='cuda:0', grad_fn=<DivBackward0>)
tensor(98.1159, device='cuda:0', grad_fn=<DivBackward0>)
tensor(56.8401, device='cuda:0', grad_fn=<DivBackward0>)
tensor(28.0762, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.2212, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.7698, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.7453, device='cuda:0', grad_fn=<DivBackward0>)
tensor(324.8988, device='cuda:0', grad_fn=<DivBackward0>)
tensor(82.5936, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.7975, device='cuda:0', grad_fn=<DivBackward0>)
tensor(111.7705, device='cuda:0', grad_fn=<DivBackward0>)
tensor(27.0529, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.8306, device='cuda:0', grad_fn=<DivBackward0>)
tensor(69.8409, device='cuda:0', grad_fn=<DivBackward0>)
tensor(52.7248, device='cuda:0', grad_fn=<DivBackward0>)
tensor(146.2798, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.8340, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.5319, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.8588, device='cuda:0', grad_fn=<DivBackward0>)
tensor(25.7310, device='cuda:0', grad_fn=<DivBackward0>)
tensor(70.6438, device='cuda:0', grad_fn=<DivBackward0>)
tensor(72.8375, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.7181, device='cuda:0', grad_fn=<DivBackward0>)
tensor(69.2269, device='cuda:0', grad_fn=<DivBackward0>)
tensor(33.7643, device='cuda:0', grad_fn=<DivBackward0>)
tensor(126.1902, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.8835, device='cuda:0', grad_fn=<DivBackward0>)
tensor(36.8792, device='cuda:0', grad_fn=<DivBackward0>)
tensor(50.1001, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.5959, device='cuda:0', grad_fn=<DivBackward0>)
tensor(43.3553, device='cuda:0', grad_fn=<DivBackward0>)
tensor(51.2046, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.7159, device='cuda:0', grad_fn=<DivBackward0>)
tensor(106.1355, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.9196, device='cuda:0', grad_fn=<DivBackward0>)
tensor(300.2361, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.0318, device='cuda:0', grad_fn=<DivBackward0>)
tensor(27.6491, device='cuda:0', grad_fn=<DivBackward0>)
tensor(58.0039, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.8089, device='cuda:0', grad_fn=<DivBackward0>)
tensor(28.0065, device='cuda:0', grad_fn=<DivBackward0>)
tensor(48.6080, device='cuda:0', grad_fn=<DivBackward0>)
tensor(291.0038, device='cuda:0', grad_fn=<DivBackward0>)
All parameters are the same.
tensor(27.6417, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.3709, device='cuda:0', grad_fn=<DivBackward0>)
tensor(39.0954, device='cuda:0', grad_fn=<DivBackward0>)
tensor(36.7742, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.0043, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.9515, device='cuda:0', grad_fn=<DivBackward0>)
tensor(34.7929, device='cuda:0', grad_fn=<DivBackward0>)
tensor(66.4106, device='cuda:0', grad_fn=<DivBackward0>)
tensor(41.3749, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.1269, device='cuda:0', grad_fn=<DivBackward0>)
tensor(45.5631, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.6737, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.0812, device='cuda:0', grad_fn=<DivBackward0>)
tensor(59.3356, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.1944, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.8742, device='cuda:0', grad_fn=<DivBackward0>)
tensor(38.7047, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.3275, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.9709, device='cuda:0', grad_fn=<DivBackward0>)
tensor(295.3665, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.2072, device='cuda:0', grad_fn=<DivBackward0>)
tensor(55.8118, device='cuda:0', grad_fn=<DivBackward0>)
tensor(69.5776, device='cuda:0', grad_fn=<DivBackward0>)
tensor(26.2654, device='cuda:0', grad_fn=<DivBackward0>)
tensor(57.2707, device='cuda:0', grad_fn=<DivBackward0>)
tensor(42.8292, device='cuda:0', grad_fn=<DivBackward0>)
tensor(40.0045, device='cuda:0', grad_fn=<DivBackward0>)
tensor(53.8112, device='cuda:0', grad_fn=<DivBackward0>)
tensor(54.1188, device='cuda:0', grad_fn=<DivBackward0>)
